Name,Northing,Easting,Elevation,Description,,,Date Taken
1525,5013.178319,4999.208366,103.649524,BR,,,13/07/2012
1526,5013.18328,4999.19666,103.711426,BR,,,13/07/2012
1527,5013.18381,4999.195405,103.851116,BR,,,13/07/2012
1528,5013.186586,4999.188828,103.941685,BR,,,13/07/2012
1529,5013.196754,4999.164789,104.029813,BR,,,13/07/2012
1530,5013.209312,4999.135166,104.063797,BR,,,13/07/2012
1531,5013.232432,4999.080604,104.110234,BR,,,13/07/2012
1532,5013.244902,4999.051167,104.172142,BR,,,13/07/2012
1533,5013.265524,4999.002534,104.261236,BR,,,13/07/2012
1534,5013.296949,4998.928346,104.373779,BR,,,13/07/2012
1535,5013.324471,4998.863443,104.475845,BR,,,13/07/2012
1536,5013.35948,4998.780791,104.662817,BR,,,13/07/2012
1537,5013.395348,4998.696129,104.939611,BR,,,13/07/2012
1538,5013.437088,4998.597731,105.194152,BR,,,13/07/2012
1539,5013.480089,4998.496165,105.372115,BR,,,13/07/2012
1540,5013.520999,4998.399672,105.419315,BR,,,13/07/2012
1541,5013.54935,4998.332755,105.784446,BR,,,13/07/2012
1542,5013.609832,4998.189976,105.8919,BR,,,13/07/2012
1543,5011.547026,5001.459199,100.778868,BR,,,13/07/2012
1544,5011.679285,5001.250084,101.0781,BR,,,13/07/2012
1545,5011.75834,5001.124942,101.295628,BR,,,13/07/2012
1546,5011.787688,5001.078491,101.610685,BR,,,13/07/2012
1547,5010.661786,5001.243782,98.978572,PF_C1_32_AXE6,,,13/07/2012
1548,5010.694932,5001.262182,98.980528,PF_C1_32_AXE6,,,13/07/2012
1549,5010.635721,5001.280226,98.973516,PF_C1_32_AXE6,,,13/07/2012
1550,5010.604717,5001.318477,98.960227,PF_C1_32_AXE6,,,13/07/2012
1551,5010.604525,5001.347049,98.951297,PF_C1_32_AXE6,,,13/07/2012
1552,5010.656073,5001.371994,98.956809,PF_C1_32_AXE6,,,13/07/2012
1553,5010.706845,5001.332662,98.963328,PF_C1_32_AXE6,,,13/07/2012
1554,5011.600686,5000.752155,101.627503,BR,,,13/07/2012
1555,5011.670587,5000.662424,101.756129,BR,,,13/07/2012
1556,5011.748308,5000.563519,101.93796,BR,,,13/07/2012
1557,5011.777466,5000.52643,102.087878,BR,,,13/07/2012
1558,5011.85026,5000.433852,102.203519,BR,,,13/07/2012
1559,5011.960196,5000.29399,102.343741,BR,,,13/07/2012
1560,5012.063901,5000.16203,102.557833,BR,,,13/07/2012
1561,5012.261762,4999.91032,102.688353,BR,,,13/07/2012
1562,5012.363344,4999.781163,102.868585,BR,,,13/07/2012
1563,5012.437279,4999.687133,102.963905,BR,,,13/07/2012
1564,5012.538965,4999.557225,103.088611,BR,,,13/07/2012
1565,5012.582361,4999.502039,103.226951,BR,,,13/07/2012
1566,5012.671695,4999.388503,103.236729,BR,,,13/07/2012
1567,5011.460218,4999.803772,102.355732,ART_WHEEL,,,13/07/2012
1568,5011.500877,4999.835263,102.355023,ART_WHEEL,,,13/07/2012
1569,5011.481685,4999.843611,102.335607,ART_WHEEL,,,13/07/2012
1570,5011.45934,4999.823379,102.322477,ART_WHEEL,,,13/07/2012
1571,5011.431707,4999.821426,102.316997,ART_WHEEL,,,13/07/2012
1572,5011.426159,4999.800467,102.321848,ART_WHEEL,,,13/07/2012
1573,5011.42039,4999.791079,102.333097,ART_WHEEL,,,13/07/2012
1574,5011.42866,4999.774986,102.350305,ART_WHEEL,,,13/07/2012
1575,5011.431675,4999.770924,102.367175,ART_WHEEL,,,13/07/2012
1576,5011.450705,4999.765519,102.378109,ART_WHEEL,,,13/07/2012
1577,5011.470101,4999.767867,102.385329,ART_WHEEL,,,13/07/2012
1578,5011.479494,4999.78856,102.392234,ART_WHEEL,,,13/07/2012
1579,5011.500983,4999.817409,102.383513,ART_WHEEL,,,13/07/2012
CP1,5016,5006,100.37,control point,,,13/07/2012
TBM03,5020,5003,100.795,TBM03,,,13/07/2012
TBM04,5009,4996,100.754,TBM04,,,13/07/2012
TBM05,5013.6044,4998.203,100.753,TBM05,,,13/07/2012
