Spit,Mass,,,
31,7.09,,,
31,7.7,,,
31,10.25,,,
31,11.42,,,
31,17.12,,,
31,38.11,,,
31,47.51,,,
31,57.25,,,
31,91.5,,,
31,185.76,,,
32,60.26,,,
33,1.75,,,
33,6.91,,,
33,21.33,,,
33,25.53,,,
33,30.23,,,
33,34.98,,,
33,41.68,,,
33,138.48,,,
33,140.89,,,
33,198.59,,,
33,252.27,,,
33,255.35,,,
34,4.13,,,
34,15.74,,,
34,21.61,,,
34,93.66,,,
34,270.19,,,
35,8.5,,,
35,8.88,,,
35,14.12,,,
35,15.6,,,
35,19.99,,,
35,23.81,,,
35,34.06,,,
35,83.3,,,
35,121.55,,,
